recipe_tag	coefficient
bias	0.6955445544554464
alfredo	0.0
almond	0.0
american	0.0
appetizer	0.0
appetizers	0.0
apple	0.0
asiancuisine	0.0
asparagus	0.0
avocado	0.0
bacon	0.0
baked	0.0
bakeddishes	0.0
bakery	0.0
baking	0.0
beans	0.0
beef	0.0
bellpeppers	0.0
berries	0.0
blackbeans	0.0
blackvinegar	0.0
blueberry	0.0
boiledeggs	0.0
bokchoy	0.0
braided	0.0
bread	0.0
breaded	0.0
breakfast	0.0
breakfastpastry	0.0
brioche	0.0
broiling	0.0
brownies	0.0
brownsugar	0.0
brunch	0.0
burger	0.0
burritos	0.0
buttery	0.0
cake	0.0
carrots	0.0
casserole	0.0
celebration	0.0
cheese	0.0
cheesy	0.0
cherry	0.0
chicken	0.0
chickpeas	0.0
chilioil	0.0
chilipowder	0.0
chinese	0.0
chinesecookingwine	0.0
chinesecuisine	0.0
chocolate	0.0
chocolatechip	0.0
chocolatecroissant	0.0
christmas	0.0
cilantro	0.0
cinnamon	0.0
citrus	0.0
classic	0.0
cloves	0.0
cobbler	0.0
cocoapowder	0.0
coffee	0.0
cold	0.0
coldnoodles	0.0
comfortfood	0.0
condiment	0.0
cookies	0.0
corn	0.0
cranberry	0.0
creamcheese	0.0
creamy	0.0
crisp	0.0
crispy	0.0
croissant	0.0
croissants	0.0
crumble	0.0
crust	0.0
cucumber	0.0
cumin	0.0
cupcakes	0.0
custard	0.0
custardy	0.0
customizable	0.0
danish	0.0
dashibroth	0.0
dates	0.0
decadent	0.0
dessert	0.0
dinner	0.0
dip	0.0
donuts	0.0
easterneuropean	0.0
easy	0.0
easydinner	0.0
egg	0.0
eggs	0.0
eggwhites	0.0
fajitaseasoning	0.0
fall	0.0
familyfriendly	0.0
fastfood	0.0
fetacheese	0.0
filling	0.0
fingerfood	0.0
flaky	0.0
french	0.0
frenchcuisine	0.0
frenchpastry	0.0
fresh	0.0
fried	0.0
friedfood	0.0
friedrice	0.0
fries	0.0
frosting	0.0
fruit	0.0
fudgy	0.0
gamedayfood	0.0
ganache	0.0
garlic	0.0
ginger	0.0
glutenfree	0.0
goldenbrown	0.0
greenbeans	0.0
greenonion	0.0
greenonions	0.0
grill	0.0
grilled	0.0
grilling	0.0
groundbeef	0.0
gruyere	0.0
gruyerecheese	0.0
guacamole	0.0
hamandcheese	0.0
hamburger	0.0
handheld	0.0
handtorndough	0.0
hawaii	0.0
hawaiian	0.0
healthy	0.0
herbs	0.0
holiday	0.0
homemade	0.0
indulgent	0.0
italian	0.0
italiancuisine	0.0
jalapenos	0.0
japanesecuisine	0.0
juicy	0.0
ketchup	0.0
keto	0.0
kidfriendly	0.0
koreancuisine	0.0
laminateddough	0.0
lasagna	0.0
lattice	0.0
lettuce	0.0
lime	0.0
loadednachos	0.0
lowcarb	0.0
lunch	0.0
macandcheese	0.0
maple	0.0
maplesyrup	0.0
masa	0.0
mayonnaise	0.0
meal	0.0
mealprep	0.0
meat	0.0
meatsauce	0.0
mexican	0.0
mexicancuisine	0.0
mexicanfood	0.0
middleeastern	0.0
miso	0.0
muffins	0.0
mushroom	0.0
mushrooms	0.0
nachos	0.0
noodles	0.0
noodlesoup	0.0
nori	0.0
numbing	0.0
nutmeg	0.0
oat	0.0
oats	0.0
onion	0.0
onions	0.0
onthego	0.0
oven	0.0
oysters	0.0
pacificislands	0.0
pancakes	0.0
parmesan	0.0
partyfood	0.0
pasta	0.0
pastasauce	0.0
pastry	0.0
pastrycrust	0.0
peach	0.0
peanutbutter	0.0
peanutdressing	0.0
peanuts	0.0
peppers	0.0
pickledvegetables	0.0
pie	0.0
piecrust	0.0
pork	0.0
porkbelly	0.0
potatoes	0.0
protein	0.0
puffpastry	0.0
quiche	0.0
quick	0.0
ramen	0.0
refreshing	0.0
relish	0.0
rhubarb	0.0
rice	0.0
ricevinegar	0.0
rich	0.0
ricotta	0.0
salad	0.0
salsa	0.0
salty	0.0
sandwich	0.0
sauce	0.0
savory	0.0
scallions	0.0
scallops	0.0
seafood	0.0
sesame	0.0
sesameoil	0.0
sesameseeds	0.0
shrimp	0.0
sichuancuisine	0.0
sichuanpeppercorns	0.0
sidedish	0.0
sidedishes	0.0
skewers	0.0
smoky	0.0
snack	0.0
snacks	0.0
sobanoodles	0.0
soft	0.0
souffle	0.0
soup	0.0
sourcream	0.0
southern	0.0
southerncuisine	0.0
soysauce	0.0
spam	0.0
spices	0.0
spicy	0.0
spicyfood	0.0
spinach	0.0
spring	0.0
steamed	0.0
stirfry	0.0
strawberry	0.0
streetfood	0.0
stuffedpeppers	0.0
summer	0.0
sushi	0.0
sweet	0.0
sweetandsalty	0.0
sweetandsavory	0.0
sweettreat	0.0
taco	0.0
tacos	0.0
tangy	0.0
tart	0.0
tea	0.0
tempura	0.0
tender	0.0
texmex	0.0
thanksgiving	0.0
toast	0.0
tomato	0.0
tomatoes	0.0
tomatosauce	0.0
tortilla	0.0
tortillabowl	0.0
tortillachips	0.0
tortillas	0.0
traditional	0.0
twisted	0.0
udonnoodles	0.0
vanilla	0.0
vanillaicecream	0.0
vegan	0.0
vegetables	0.0
vegetarian	0.0
warm	0.0
whippedcream	0.0
winter	0.0
yeastdough	0.0
