recipe_slug	estimate	var_component
falafel	0.69554377	0.09950372
spamburger	0.69554377	0.09950372
bacon-fried-rice	0.69554377	0.09950372
chicken-fingers	0.69554377	0.09950372
apple-crisp	0.69554377	0.09950372
cranberry-apple-crisp	0.69554377	0.09950372
bacon-chocolate-chip-cookies	0.69554377	0.09950372
sujebi	0.69554377	0.09950372
pasta-primavera	0.69554377	0.09950372
ramen	0.69554377	0.09950372
brownies	0.69554377	0.09950372
bacon-wrapped-scallops	0.69554377	0.09950372
bacon-egg-muffins	0.69554377	0.09950372
breakfast-burritos	0.69554377	0.09950372
bolognese-sauce	0.69554377	0.09950372
croissants	0.69554377	0.09950372
bacon-souffle	0.69554377	0.09950372
souffle	0.69554377	0.09950372
chocolate-souffle	0.69554377	0.09950372
butter-croissants	0.69554377	0.09950372
pickled-green-beans	0.69554377	0.09950372
fried-oysters	0.69554377	0.09950372
peanut-butter-brownies	0.69554377	0.09950372
almond-chip-cookies	0.69554377	0.09950372
guacamole	0.69554377	0.09950372
brioche-bread	0.69554377	0.09950372
brioche-bread-with-chocolate	0.69554377	0.09950372
asparagus-quiche	0.69554377	0.09950372
asparagus-burger	0.69554377	0.09950372
ma-la-chicken	0.69554377	0.09950372
cold-noodles-with-tomatoes	0.69554377	0.09950372
tamales	0.69554377	0.09950372
enchiladas	0.69554377	0.09950372
tacos	0.69554377	0.09950372
burritos	0.69554377	0.09950372
peanut-butter-cupcakes	0.69554377	0.09950372
pickled-asparagus	0.69554377	0.09950372
chocolate-peanut-butter-cake	0.69554377	0.09950372
udon	0.69554377	0.09950372
vegetable-lasagna	0.69554377	0.09950372
maple-bacon-donuts	0.69554377	0.09950372
maple-bacon-pancakes	0.69554377	0.09950372
spinach-and-ricotta-stuffed-shells	0.69554377	0.09950372
quesadillas	0.69554377	0.09950372
pico-de-gallo	0.69554377	0.09950372
nachos	0.69554377	0.09950372
cold-soba-noodles-with-tomato-and-cucumber	0.69554377	0.09950372
fajitas	0.69554377	0.09950372
loaded-nachos	0.69554377	0.09950372
lasagna	0.69554377	0.09950372
chicken-nuggets	0.69554377	0.09950372
pain-au-chocolat	0.69554377	0.09950372
nacho-dip	0.69554377	0.09950372
nacho-salad	0.69554377	0.09950372
nacho-casserole	0.69554377	0.09950372
nacho-fries	0.69554377	0.09950372
tempura-udon	0.69554377	0.09950372
peach-crisp	0.69554377	0.09950372
apple-pie	0.69554377	0.09950372
blueberry-crisp	0.69554377	0.09950372
berry-crumble	0.69554377	0.09950372
strawberry-rhubarb-crisp	0.69554377	0.09950372
peach-cobbler	0.69554377	0.09950372
cranberry-sauce	0.69554377	0.09950372
cherry-cobbler	0.69554377	0.09950372
apple-crumble	0.69554377	0.09950372
chocolate-croissants	0.69554377	0.09950372
french-toast	0.69554377	0.09950372
chocolate-babka	0.69554377	0.09950372
cinnamon-babka	0.69554377	0.09950372
blueberry-crumble	0.69554377	0.09950372
spam-musubi	0.69554377	0.09950372
taco-salad	0.69554377	0.09950372
chiles-rellenos	0.69554377	0.09950372
almond-croissants	0.69554377	0.09950372
cranberry-relish	0.69554377	0.09950372
ma-la-beef	0.69554377	0.09950372
chocolate-cake	0.69554377	0.09950372
spinach-quiche	0.69554377	0.09950372
mushroom-quiche	0.69554377	0.09950372
quiche-lorraine	0.69554377	0.09950372
croissant-aux-amandes	0.69554377	0.09950372
danishes	0.69554377	0.09950372
spinach-and-feta-quiche	0.69554377	0.09950372
cold-sesame-noodles	0.69554377	0.09950372
soba-noodle-salad-with-peanut-dressing	0.69554377	0.09950372
dan-dan-noodles	0.69554377	0.09950372
vanilla-souffle	0.69554377	0.09950372
bacon-wrapped-dates	0.69554377	0.09950372
cherry-pie	0.69554377	0.09950372
berry-crisp	0.69554377	0.09950372
bacon-and-egg-breakfast-sandwich	0.69554377	0.09950372
bacon-wrapped-shrimp-skewers	0.69554377	0.09950372
bacon-wrapped-chicken	0.69554377	0.09950372
bacon-wrapped-asparagus	0.69554377	0.09950372
bacon-mac-and-cheese	0.69554377	0.09950372
chicken-alfredo-lasagna	0.69554377	0.09950372
classic-beef-lasagna	0.69554377	0.09950372
vegetarian-mushroom-lasagna	0.69554377	0.09950372
spinach-and-ricotta-lasagna	0.69554377	0.09950372
